4,serval,10000,64,0.990000,20,0,100,0,0,0,132287070,1910672,0,0
4,serval,10000,64,0.990000,20,0,100,1,0,0,128871548,1922344,0,0
4,serval,10000,64,0.990000,20,0,100,2,0,0,127865028,1907518,0,0
4,serval,10000,64,0.990000,20,0,100,3,0,0,127711676,1887762,0,0
4,serval,10000,64,0.990000,20,0,100,4,0,0,130857412,1904476,0,0
4,serval,10000,64,0.990000,20,0,100,5,0,0,149919894,1908262,0,0
4,serval,10000,64,0.990000,20,0,100,6,0,0,127480426,1904092,0,0
4,serval,10000,64,0.990000,20,0,100,7,0,0,129890128,1922946,0,0
4,serval,10000,64,0.990000,20,0,100,8,0,0,132863630,1902960,0,0
4,serval,10000,64,0.990000,20,0,100,9,0,0,125855262,1917134,0,0
4,serval,10000,64,0.990000,20,0,100,10,0,0,128896444,1836842,0,0
4,serval,10000,64,0.990000,20,0,100,11,0,0,128943966,1907438,0,0
4,serval,10000,64,0.990000,20,0,100,12,0,0,126769222,1889764,0,0
4,serval,10000,64,0.990000,20,0,100,13,0,0,125625824,1839866,0,0
4,serval,10000,64,0.990000,20,0,100,14,0,0,126582924,1914546,0,0
4,serval,10000,64,0.990000,20,0,100,15,0,0,128249014,1915576,0,0
4,serval,10000,64,0.990000,20,0,100,16,1,0,127442542,1616020,0,0
4,serval,10000,64,0.990000,20,0,100,17,1,0,128060746,1616288,0,0
4,serval,10000,64,0.990000,20,0,100,18,1,0,126882624,1611766,0,0
4,serval,10000,64,0.990000,20,0,100,19,1,0,132297818,1602636,0,0
4,serval,10000,64,0.990000,20,0,100,20,1,0,130953258,1604682,0,0
4,serval,10000,64,0.990000,20,0,100,21,1,0,129195102,1606730,0,0
4,serval,10000,64,0.990000,20,0,100,22,1,0,127133152,1594714,0,0
4,serval,10000,64,0.990000,20,0,100,23,1,0,129024538,1603144,0,0
4,serval,10000,64,0.990000,20,0,100,24,1,0,127784754,1593292,0,0
4,serval,10000,64,0.990000,20,0,100,25,1,0,127260588,1585436,0,0
4,serval,10000,64,0.990000,20,0,100,26,1,0,126703552,1591536,0,0
4,serval,10000,64,0.990000,20,0,100,27,1,0,127847622,1593682,0,0
4,serval,10000,64,0.990000,20,0,100,28,1,0,125689328,1590020,0,0
4,serval,10000,64,0.990000,20,0,100,29,1,0,129261704,1589468,0,0
4,serval,10000,64,0.990000,20,0,100,30,1,0,127314816,1597044,0,0
4,serval,10000,64,0.990000,20,0,100,31,1,0,103243832,1606676,0,0
4,serval,10000,64,0.990000,20,0,100,32,0,0,128545506,1881092,0,0
4,serval,10000,64,0.990000,20,0,100,33,0,0,130353948,1894320,0,0
4,serval,10000,64,0.990000,20,0,100,34,0,0,128271740,1891240,0,0
4,serval,10000,64,0.990000,20,0,100,35,0,0,127245104,1897604,0,0
4,serval,10000,64,0.990000,20,0,100,36,0,0,129843326,1890138,0,0
4,serval,10000,64,0.990000,20,0,100,37,0,0,129123354,1893218,0,0
4,serval,10000,64,0.990000,20,0,100,38,0,0,129497980,1882742,0,0
4,serval,10000,64,0.990000,20,0,100,39,0,0,126487340,1908864,0,0
4,serval,10000,64,0.990000,20,0,100,40,0,0,126894158,1902222,0,0
4,serval,10000,64,0.990000,20,0,100,41,0,0,126339866,1899572,0,0
4,serval,10000,64,0.990000,20,0,100,42,0,0,128531606,1897394,0,0
4,serval,10000,64,0.990000,20,0,100,43,0,0,128861702,1906462,0,0
4,serval,10000,64,0.990000,20,0,100,44,0,0,126203700,1904262,0,0
4,serval,10000,64,0.990000,20,0,100,45,0,0,126728516,1897756,0,0
4,serval,10000,64,0.990000,20,0,100,46,0,0,128128438,1902218,0,0
4,serval,10000,64,0.990000,20,0,100,47,0,0,126151028,1911708,0,0
4,serval,10000,64,0.990000,20,0,100,48,1,0,128945658,1601102,0,0
4,serval,10000,64,0.990000,20,0,100,49,1,0,128374932,1612444,0,0
4,serval,10000,64,0.990000,20,0,100,50,1,0,125910132,1597498,0,0
4,serval,10000,64,0.990000,20,0,100,51,1,0,130645782,1591928,0,0
4,serval,10000,64,0.990000,20,0,100,52,1,0,128025178,1586482,0,0
4,serval,10000,64,0.990000,20,0,100,53,1,0,127914346,1593590,0,0
4,serval,10000,64,0.990000,20,0,100,54,1,0,128081082,1595978,0,0
4,serval,10000,64,0.990000,20,0,100,55,1,0,127892804,1598058,0,0
4,serval,10000,64,0.990000,20,0,100,56,1,0,126425942,1587902,0,0
4,serval,10000,64,0.990000,20,0,100,57,1,0,126513552,1585990,0,0
4,serval,10000,64,0.990000,20,0,100,58,1,0,128367960,1591344,0,0
4,serval,10000,64,0.990000,20,0,100,59,1,0,129076942,1592354,0,0
4,serval,10000,64,0.990000,20,0,100,60,1,0,127371868,1610116,0,0
4,serval,10000,64,0.990000,20,0,100,61,1,0,127665102,1605266,0,0
4,serval,10000,64,0.990000,20,0,100,62,1,0,126845284,1615930,0,0
4,serval,10000,64,0.990000,20,0,100,63,1,0,80322996,863004,0,0
